"Bright Ledger Coffee Roasters, LLC"
Transaction Detail by Account
"January 1 - March 31, 2025"

Date,Transaction Type,Num,Name,Memo/Description,Account,Split,Amount
01/01/2025,Bill Payment,T0001,Prime Property Mgmt,Monthly studio rent,Rent Expense,Checking,"4,500.00"
01/01/2025,Credit Card Expense,T0011,QuickBooks Online,Monthly subscription,Dues & Subscriptions,Credit Card,85.87
01/01/2025,Credit Card Expense,T0012,Slack,Monthly subscription,Dues & Subscriptions,Credit Card,119.22
01/01/2025,Credit Card Expense,T0013,Google Workspace,Monthly subscription,Dues & Subscriptions,Credit Card,67.30
01/01/2025,Credit Card Expense,T0014,Adobe,Monthly subscription,Dues & Subscriptions,Credit Card,52.19
01/01/2025,Credit Card Expense,T0015,Shopify,Monthly subscription,Dues & Subscriptions,Credit Card,105.05
01/01/2025,Bill Payment,T0026,City Power & Light,Monthly utility,Utilities,Checking,297.64
01/01/2025,Bill Payment,T0027,Metro Water,Monthly utility,Utilities,Checking,77.77
01/01/2025,Bill Payment,T0028,Comcast Business,Monthly utility,Utilities,Checking,159.14
01/01/2025,Bill,T0067,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,363.44"
01/01/2025,Credit Card Expense,T0195,Amazon,Office/shop supplies,Office Supplies,Credit Card,281.31
01/01/2025,Sales Receipt,T0327,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,076.18)"
01/01/2025,Sales Receipt,T0370,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,549.55)"
01/01/2025,Sales Receipt,T0397,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(837.39)
01/02/2025,Expense,T0254,Square,Card processing fee,Merchant Account Fees,Checking,104.21
01/02/2025,Sales Receipt,T0304,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,390.72)"
01/02/2025,Sales Receipt,T0382,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,349.28)"
01/02/2025,Credit Card Expense,T0440,Staples,Shop supplies,Office Supplies,Credit Card,319.37
01/03/2025,Expense,T0004,Gusto Payroll,Payroll run,Payroll Expenses,Checking,"12,111.54"
01/03/2025,Credit Card Expense,T0237,Costco,Office/shop supplies,Office Supplies,Credit Card,87.24
01/03/2025,Sales Receipt,T0352,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(2,199.19)"
01/04/2025,Credit Card Expense,T0227,Amazon,Office/shop supplies,Office Supplies,Credit Card,239.25
01/04/2025,Credit Card Expense,T0236,Amazon,Office/shop supplies,Office Supplies,Credit Card,101.80
01/04/2025,Credit Card Expense,T0243,Staples,Office/shop supplies,Office Supplies,Credit Card,218.50
01/04/2025,Expense,T0269,Square,Card processing fee,Merchant Account Fees,Checking,66.90
01/04/2025,Sales Receipt,T0349,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(473.52)
01/04/2025,Sales Receipt,T0379,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(2,148.98)"
01/05/2025,Bill,T0090,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,477.94
01/05/2025,Credit Card Expense,T0156,Staples,Office/shop supplies,Office Supplies,Credit Card,108.95
01/05/2025,Credit Card Expense,T0478,Staples,Shop supplies,Office Supplies,Credit Card,348.74
01/06/2025,Bill,T0120,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,490.18
01/06/2025,Bill,T0148,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,631.08
01/06/2025,Sales Receipt,T0300,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(2,151.16)"
01/06/2025,Sales Receipt,T0347,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,989.90)"
01/07/2025,Bill,T0059,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,568.13
01/07/2025,Bill,T0097,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,118.80"
01/07/2025,Bill,T0114,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,924.47
01/07/2025,Bill,T0139,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,097.71"
01/07/2025,Credit Card Expense,T0234,Staples,Office/shop supplies,Office Supplies,Credit Card,109.51
01/07/2025,Sales Receipt,T0307,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(779.71)
01/07/2025,Sales Receipt,T0372,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(656.41)

01/07/2025,Sales Receipt,T0375,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(686.76)
01/07/2025,Credit Card Expense,T0451,Costco,Shop supplies,Office Supplies,Credit Card,271.00
01/08/2025,Bill,T0049,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,303.98"
01/08/2025,Bill,T0107,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,816.87
01/08/2025,Bill,T0112,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,209.31"
01/08/2025,Bill,T0113,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,744.97
01/08/2025,Sales Receipt,T0321,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,458.30)"
01/08/2025,Credit Card Expense,T0432,Staples,Shop supplies,Office Supplies,Credit Card,151.12
01/09/2025,Bill,T0039,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,127.39"
01/09/2025,Bill,T0061,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,819.78
01/09/2025,Bill,T0078,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,242.42"
01/09/2025,Bill,T0117,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,474.76
01/09/2025,Credit Card Expense,T0160,Staples,Office/shop supplies,Office Supplies,Credit Card,148.86
01/09/2025,Credit Card Expense,T0172,Costco,Office/shop supplies,Office Supplies,Credit Card,325.44
01/09/2025,Credit Card Expense,T0235,Costco,Office/shop supplies,Office Supplies,Credit Card,52.48
01/09/2025,Sales Receipt,T0309,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,061.34)"
01/09/2025,Credit Card Expense,T0427,Amazon,Shop supplies,Office Supplies,Credit Card,235.66
01/10/2025,Bill,T0126,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,904.11
01/10/2025,Bill,T0144,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,394.32"
